file_name,variable_name,variable_defintion,string_format,unit,number_type
2_study_metadata.csv,study_id,unique study ID,NA,NA,integer
2_study_metadata.csv,site_id,unique site ID for each study ID,NA,NA,integer
2_study_metadata.csv,site_name,unique site name for each study location,NA,NA,NA
2_study_metadata.csv,year,calendar years when cereal rye was planted and biomass sample was collected,YYYY-YYYY,NA,NA
2_study_metadata.csv,state,state where observation occurred,NA,NA,NA
2_study_metadata.csv,latitude,latitude point where observation occurred,NA,decimal degree,NA
2_study_metadata.csv,longitude,longtitude point where observation occurred,NA,decimal degree,NA
2_study_metadata.csv,location_obscured,whether latitude and logitude data from private farms were obscured to ensure privacy,TRUE/FALSE,NA,NA
2_study_metadata.csv,experimental_design,"whether design is Randomized complete block design or Split-split plot design, Split plot and randomized complete block design, or unknown",NA,NA,NA
2_study_metadata.csv,replications,number of replications of biomass data,NA,NA,integer
2_study_metadata.csv,rye_data_level,whether biomass data is provided at plot level or treatment level (aggregated across plots or replicates),NA,NA,NA
2_study_metadata.csv,publication_DOI,"the DOI associated with any published datasets; ""NA"" indicates that study is unpublished",NA,NA,NA
2_study_metadata.csv,methods_unpublished_data,the methods associated with any unpublished datasets,NA,NA,NA
3_rye_data.csv,study_id,unique study ID,NA,NA,integer
3_rye_data.csv,site_id,unique site ID for each study ID,NA,NA,NA
3_rye_data.csv,year,calendar years when cereal rye was planted and biomass sample was collected,YYYY-YYYY,NA,NA
3_rye_data.csv,rye_planting_date,cereal rye planting date,MM/DD/YYYY,NA,NA
3_rye_data.csv,rye_sampling_date,cereal rye sampling date,MM/DD/YYYY,NA,NA
3_rye_data.csv,N_rate_fall_kg_N_ha,nitrogen fertilizer rate applied fall to cover crop,NA,kg N/ha,NA
3_rye_data.csv,N_rate_spring_kg_N_ha,nitrogen fertilizer rate applied in spring to cover crop,NA,kg N/ha,NA
3_rye_data.csv,cultivar,cereal rye cultivar,NA,NA,NA
3_rye_data.csv,rep,"For plot level data, 'rep' represents the rep# from which sample was taken. For treatment level data, 'rep' represents the total number of samples based on which the mean and sd were calculated.",NA,NA,integer
3_rye_data.csv,shoot_biomass_mean_kg_ha,mean or raw shoot biomass sampled at sampling date,NA,kg/ha,real
3_rye_data.csv,shoot_biomass_sd,standard deviation of treatment-level mean shoot biomass values sampled at sample_date,NA,NA,real
3_rye_data.csv,shoot_N_mean,mean or raw shoot nitrogen sampled at sampling date,NA,NA,real
3_rye_data.csv,shoot_N_sd,standard deviation of treatment-level mean shoot nitrogen values sampled at sample_date,NA,NA,real
3_rye_data.csv,N_content_units,units of shoot nitrogen values percent N or kg N ha^1,NA,NA,NA
3_rye_data.csv,shoot_CN_ratio_mean,mean or raw shoot carbon to nitrogen ratio sampled at sampling date,NA,NA,NA
3_rye_data.csv,shoot_CN_ratio_sd,standard deviation of treatment-level mean shoot carbon to nitrogen ratio values sampled at sample_date,NA,NA,NA
3_rye_data.csv,seeding_rate,cereal rye seeding rate,NA,NA,real
