study_id,site_ID,site_name,year,state,latitude,longitude,location_obscured,experimental_design,replications,rye_data_level,publication_DOI,methods_unpublished_data
1,1,Agricultural Engineering and Agronomy Research Farm (AEARF),2005-2006,Iowa,42.020833,-93.773889,FALSE,Randomized complete block design,3,Plot level,doi:10.2489/jswc.70.6.353,NA
1,1,Agricultural Engineering and Agronomy Research Farm (AEARF),2006-2007,Iowa,42.020833,-93.773889,FALSE,Randomized complete block design,3,Plot level,doi:10.2489/jswc.70.6.353,NA
1,1,Agricultural Engineering and Agronomy Research Farm (AEARF),2007-2008,Iowa,42.020833,-93.773889,FALSE,Randomized complete block design,3,Plot level,doi:10.2489/jswc.70.6.353,NA
1,1,Agricultural Engineering and Agronomy Research Farm (AEARF),2008-2009,Iowa,42.020833,-93.773889,FALSE,Randomized complete block design,3,Plot level,doi:10.2489/jswc.70.6.353,NA
2,2,Crop Science Research and Education Center (CSREC),2004-2005,Illinois,40.05,-88.24,FALSE,Split-split plot design,4,Plot level,doi:10.1614/WS-D-09-00040.1,NA
2,2,Crop Science Research and Education Center (CSREC),2005-2006,Illinois,40.05,-88.24,FALSE,Split-split plot design,4,Plot level,doi:10.1614/WS-D-09-00040.1,NA
2,2,Crop Science Research and Education Center (CSREC),2006-2007,Illinois,40.05,-88.24,FALSE,Split-split plot design,4,Plot level,doi:10.1614/WS-D-09-00040.1,NA
3,2,Crop Science Research and Education Center (CSREC),2007-2008,Illinois,40.05,-88.24,FALSE,Randomized complete block design,3,Plot level,doi/10.1111/wre.12334,NA
3,2,Crop Science Research and Education Center (CSREC),2008-2009,Illinois,40.05,-88.24,FALSE,Randomized complete block design,3,Plot level,doi/10.1111/wre.12334,NA
3,2,Crop Science Research and Education Center (CSREC),2009-2010,Illinois,40.05,-88.24,FALSE,Randomized complete block design,3,Plot level,doi/10.1111/wre.12334,NA
4,3,Kelly Experimental Farm,2001-2002,Iowa,42.05,-93.71,FALSE,Randomized complete block design,4,Treatment level,doi:10.2134/jeq2006.0468,NA
4,3,Kelly Experimental Farm,2002-2003,Iowa,42.05,-93.71,FALSE,Randomized complete block design,4,Treatment level,doi:10.2134/jeq2006.0468,NA
4,3,Kelly Experimental Farm,2003-2004,Iowa,42.05,-93.71,FALSE,Randomized complete block design,4,Treatment level,doi:10.2134/jeq2006.0468,NA
4,3,Kelly Experimental Farm,2004-2005,Iowa,42.05,-93.71,FALSE,Randomized complete block design,4,Treatment level,doi:10.2134/jeq2006.0468,NA
5,3,Kelly Experimental Farm,2005-2006,Iowa,42.05,-93.71,FALSE,Randomized complete block design,4,Treatment level,doi.org/10.1016/j.agwat.2012.03.010,NA
5,3,Kelly Experimental Farm,2006-2007,Iowa,42.05,-93.71,FALSE,Randomized complete block design,4,Treatment level,doi.org/10.1016/j.agwat.2012.03.010,NA
5,3,Kelly Experimental Farm,2007-2008,Iowa,42.05,-93.71,FALSE,Randomized complete block design,4,Treatment level,doi.org/10.1016/j.agwat.2012.03.010,NA
5,3,Kelly Experimental Farm,2007-2008,Iowa,42.05,-93.71,FALSE,Randomized complete block design,4,Treatment level,doi.org/10.1016/j.agwat.2012.03.010,NA
5,3,Kelly Experimental Farm,2009-2010,Iowa,42.05,-93.71,FALSE,Randomized complete block design,4,Treatment level,doi.org/10.1016/j.agwat.2012.03.010,NA
6,3,Kelly Experimental Farm,2010-2011,Iowa,42.05,-93.71,FALSE,Randomized complete block design,4,Treatment level,doi:10.2134/jeq2006.0468 ,NA
6,3,Kelly Experimental Farm,2011-2012,Iowa,42.05,-93.71,FALSE,Randomized complete block design,4,Treatment level,doi:10.2134/jeq2006.0468,NA
6,3,Kelly Experimental Farm,2012-2013,Iowa,42.05,-93.71,FALSE,Randomized complete block design,4,Treatment level,doi:10.2134/jeq2006.0468,NA
6,3,Kelly Experimental Farm,2013-2014,Iowa,42.05,-93.71,FALSE,Randomized complete block design,4,Treatment level,doi:10.2134/jeq2006.0468,NA
7,3,Kelly Experimental Farm,2015-2016,Iowa,42.05,-93.71,FALSE,Randomized complete block design,4,Plot level,NA,Cover crop shoot dry matter samples were collected within 3 d of final chemical termination in spring. Dry matter sampling consisted of clipping all cover crops at the soil surface within a 0.76 m by 0.50 m frame placed at three random locations within each plot. The frame was centered on the row of the previous crop with the long side perpendicular to the row direction. Samples were dried at 60 degrees C and weighed; cover crop shoot biomass dry weights were then scaled up to per-plot value using the size of the sampling frames. Acquired by email from Thomas Kaspar/Iowa State University.
7,3,Kelly Experimental Farm,2016-2017,Iowa,42.05,-93.71,FALSE,Randomized complete block design,4,Plot level,NA,Cover crop shoot dry matter samples were collected within 3 d of final chemical termination in spring. Dry matter sampling consisted of clipping all cover crops at the soil surface within a 0.76 m by 0.50 m frame placed at three random locations within each plot. The frame was centered on the row of the previous crop with the long side perpendicular to the row direction. Samples were dried at 60 degrees C and weighed; cover crop shoot biomass dry weights were then scaled up to per-plot value using the size of the sampling frames. Acquired by email from Thomas Kaspar/Iowa State University.
8,4,Beltsville Agricultural Research Center,2009-2010,Maryland,39.016667,-76.916667,FALSE,Randomized complete block design,4,Plot level,doi:10.2134/agronj2016.09.0557,NA
8,4,Beltsville Agricultural Research Center,2010-2011,Maryland,39.016667,-76.916667,FALSE,Randomized complete block design,4,Plot level,doi:10.2134/agronj2016.09.0557,NA
8,4,Beltsville Agricultural Research Center,2011-2012,Maryland,39.016667,-76.916667,FALSE,Randomized complete block design,4,Plot level,doi:10.2134/agronj2016.09.0557,NA
8,5,Russell E. Larson Agricultural Research Center,2011-2012,Pennsylvania,40.716667,-77.916667,FALSE,Randomized complete block design,4,Plot level,doi:10.2134/agronj2016.09.0557,NA
8,6,"Caswell Research Station, Kinston",2011-2012,North Carolina,35.283333,-77.566667,FALSE,Randomized complete block design,4,Plot level,doi:10.2134/agronj2016.09.0557,NA
8,7,"Piedmont Research Station, Salisbury",2011-2012,North Carolina,35.7,-80.616667,FALSE,Randomized complete block design,4,Plot level,doi:10.2134/agronj2016.09.0557,NA
9,8,Crookston,2014-2015,Minnesota,47.797,-96.599,FALSE,Randomized complete block design,4,Plot level,NA,Cereal rye aboveground biomass was sampled from two 0.5 m^2 quadrats within each plot just prior to rye termination and dried at 60 °C until a constant weight was reached. Acquired by email from Samantha Wells/University of Minnesota. Preprint DOI: doi:10.20944/preprints202401.1682.v1
9,8,Crookston,2015-2016,Minnesota,47.797,-96.599,FALSE,Randomized complete block design,4,Plot level,NA,Cereal rye aboveground biomass was sampled from two 0.5 m^2 quadrats within each plot just prior to rye termination and dried at 60 °C until a constant weight was reached. Acquired by email from Samantha Wells/University of Minnesota. Preprint DOI: doi:10.20944/preprints202401.1682.v1
9,9,Lamberton,2014-2015,Minnesota,44.238,-95.308,FALSE,Randomized complete block design,3,Plot level,NA,Cereal rye aboveground biomass was sampled from two 0.5 m^2 quadrats within each plot just prior to rye termination and dried at 60 °C until a constant weight was reached. Acquired by email from Samantha Wells/University of Minnesota. Preprint DOI: doi:10.20944/preprints202401.1682.v1
9,9,Lamberton,2015-2016,Minnesota,44.238,-95.308,FALSE,Randomized complete block design,3,Plot level,NA,Cereal rye aboveground biomass was sampled from two 0.5 m^2 quadrats within each plot just prior to rye termination and dried at 60 °C until a constant weight was reached. Acquired by email from Samantha Wells/University of Minnesota. Preprint DOI: doi:10.20944/preprints202401.1682.v1
9,10,Saint Paul,2014-2015,Minnesota,44.99,-93.117,FALSE,Randomized complete block design,3,Plot level,NA,Cereal rye aboveground biomass was sampled from two 0.5 m^2 quadrats within each plot just prior to rye termination and dried at 60 °C until a constant weight was reached. Acquired by email from Samantha Wells/University of Minnesota. Preprint DOI: doi:10.20944/preprints202401.1682.v1
