study_id,site_id,year,rye_planting_date,rye_sampling_date,N_rate_fall_kg_N_ha,N_rate_spring_kg_N_ha,cultivar,rep,shoot_biomass_mean_kg_ha,shoot_biomass_sd,shoot_N_mean,shoot_N_sd,N_content_units,shoot_CN_ratio_mean,shoot_CN_ratio_sd,seeding_rate,seeding_rate_units,cumulative_GDD,base_temp_C,growth_stage_at_termination,plant_population,plant_population_units,plant_population_date,tiller_density,tillers_units,month_sampled
1,Agricultural Engineering and Agronomy Research Farm (AEARF),2005-2006,10/13/2005,4/27/2006,0,0,Aroostook,1,4050,NA,103.61,NA,kg N/ha,NA,NA,3.00E+06,seeds/ha,692,4,NA,NA,NA,NA,NA,NA,4
1,Agricultural Engineering and Agronomy Research Farm (AEARF),2005-2006,10/13/2005,4/27/2006,0,0,Aroostook,2,4480,NA,91.81,NA,kg N/ha,NA,NA,3.00E+06,seeds/ha,692,4,NA,NA,NA,NA,NA,NA,4
1,Agricultural Engineering and Agronomy Research Farm (AEARF),2005-2006,10/13/2005,4/27/2006,0,0,Aroostook,3,3510,NA,75.41,NA,kg N/ha,NA,NA,3.00E+06,seeds/ha,692,4,NA,NA,NA,NA,NA,NA,4
1,Agricultural Engineering and Agronomy Research Farm (AEARF),2005-2006,10/13/2005,4/27/2006,0,0,Dacold,1,3380,NA,74.38,NA,kg N/ha,NA,NA,3.00E+06,seeds/ha,692,4,NA,NA,NA,NA,NA,NA,4
1,Agricultural Engineering and Agronomy Research Farm (AEARF),2005-2006,10/13/2005,4/27/2006,0,0,Dacold,2,2630,NA,64.26,NA,kg N/ha,NA,NA,3.00E+06,seeds/ha,692,4,NA,NA,NA,NA,NA,NA,4
1,Agricultural Engineering and Agronomy Research Farm (AEARF),2005-2006,10/13/2005,4/27/2006,0,0,Dacold,3,1700,NA,52.78,NA,kg N/ha,NA,NA,3.00E+06,seeds/ha,692,4,NA,NA,NA,NA,NA,NA,4
1,Agricultural Engineering and Agronomy Research Farm (AEARF),2005-2006,10/13/2005,4/27/2006,0,0,Elbon,1,4240,NA,83.08,NA,kg N/ha,NA,NA,3.00E+06,seeds/ha,692,4,NA,NA,NA,NA,NA,NA,4
1,Agricultural Engineering and Agronomy Research Farm (AEARF),2005-2006,10/13/2005,4/27/2006,0,0,Elbon,2,3470,NA,62.19,NA,kg N/ha,NA,NA,3.00E+06,seeds/ha,692,4,NA,NA,NA,NA,NA,NA,4
1,Agricultural Engineering and Agronomy Research Farm (AEARF),2005-2006,10/13/2005,4/27/2006,0,0,Elbon,3,3170,NA,68.72,NA,kg N/ha,NA,NA,3.00E+06,seeds/ha,692,4,NA,NA,NA,NA,NA,NA,4
1,Agricultural Engineering and Agronomy Research Farm (AEARF),2005-2006,10/13/2005,4/27/2006,0,0,Maton,1,4970,NA,125.66,NA,kg N/ha,NA,NA,3.00E+06,seeds/ha,692,4,NA,NA,NA,NA,NA,NA,4
