study_id,site_id,year,previous_crop,next_crop,planting_method,fall_tillage,row_spacing,row_spacing_units,N_fertilization,fertilizer_form,N_rate_fall_date,N_rate_spring_date,Notes
1,Agricultural Engineering and Agronomy Research Farm (AEARF),2005-2006,Soybean,Corn,Drilled,No-till,7.5,inches,No,No,No,No,
1,Agricultural Engineering and Agronomy Research Farm (AEARF),2006-2007,Soybean,Corn,Drilled,No-till,7.5,inches,No,No,No,No,
1,Agricultural Engineering and Agronomy Research Farm (AEARF),2007-2008,Soybean,Corn,Drilled,No-till,7.5,inches,No,No,No,No,
1,Agricultural Engineering and Agronomy Research Farm (AEARF),2008-2009,Soybean,Corn,Drilled,No-till,7.5,inches,No,No,No,No,
2,Crop Science Research and Education Center (CSREC),2004-2005,Oat,Soybean,Drilled,No-till,18,cm,No,No,No,No,
2,Crop Science Research and Education Center (CSREC),2005-2006,Oat,Soybean,Drilled,No-till,18,cm,No,No,No,No,
2,Crop Science Research and Education Center (CSREC),2006-2007,Oat,Soybean,Drilled,No-till,18,cm,No,No,No,No,
3,Crop Science Research and Education Center (CSREC),2007-2008,Oat,Soybean,Drilled,No-till,15,cm,No,No,No,No,
3,Crop Science Research and Education Center (CSREC),2008-2009,Oat,Soybean,Drilled,No-till,15,cm,No,No,No,No,
3,Crop Science Research and Education Center (CSREC),2009-2010,Oat,Soybean,Drilled,No-till,15,cm,No,No,No,No,
4,Kelly Experimental Farm,2001-2002,Soybean,Corn,Broadcast,No-till,,,No,No,No,No,
4,Kelly Experimental Farm,2002-2003,Corn,Soybean,Broadcast,No-till,,,No,No,No,No,
4,Kelly Experimental Farm,2003-2004,Soybean,Corn,Drilled,No-till,,,No,No,No,No,
4,Kelly Experimental Farm,2004-2005,Corn,Soybean,Drilled,No-till,,,No,No,No,No,
5,Kelly Experimental Farm,2005-2006,Soybean,Corn,Drilled,No-till,,,No,No,No,No,
5,Kelly Experimental Farm,2006-2007,Corn,Soybean,Drilled,No-till,,,No,No,No,No,
5,Kelly Experimental Farm,2007-2008,Soybean,Corn,Drilled,No-till,,,No,No,No,No,
5,Kelly Experimental Farm,2008-2009,Corn,Soybean,Drilled,No-till,,,No,No,No,No,
5,Kelly Experimental Farm,2009-2010,Soybean,Corn,Drilled,No-till,,,No,No,No,No,
6,Kelly Experimental Farm,2010-2011,Corn,Soybean,Drilled,No-till,,,No,No,No,No,
6,Kelly Experimental Farm,2011-2012,Soybean,Corn,Drilled,No-till,,,No,No,No,No,
6,Kelly Experimental Farm,2012-2013,Corn,Soybean,Broadcast,No-till,,,No,No,No,No,
6,Kelly Experimental Farm,2013-2014,Soybean,Corn,Broadcast,No-till,,,No,No,No,No,
7,Kelly Experimental Farm,2015-2016,Soybean,Corn,Broadcast,No-till,,,No,No,No,No,
7,Kelly Experimental Farm,2016-2017,Corn,Soybean,Broadcast,No-till,,,No,No,No,No,
8,Beltsville Agricultural Research Center,2009-2010,Sorghum sudan grass,,Drilled,Conventiol till,19,cm,Yes,Ammonium nitrate,9/21/2009,No,
