study_id,site_id,year,soil_sampling,Before or at rye planting,rep,soil_cores_sampled,soil_depth_cm,soil_NH4,soil_NH4_units,soil_NO3,soil_NO3_units,total_inorganic_N,total_inorganic_N_units,soil_textural_class,percent_sand,percent_silt,percent_clay,bulk_density_g_cm3,percent_SOM,percent_SOC,pH
1,Agricultural Engineering and AgroFALSEmy Research Farm (AEARF),2005-2006,FALSE,,,,,,,,,,,loam,,,,,,,
1,Agricultural Engineering and AgroFALSEmy Research Farm (AEARF),2006-2007,FALSE,,,,,,,,,,,clay loam,,,,,,,
1,Agricultural Engineering and AgroFALSEmy Research Farm (AEARF),2007-2008,FALSE,,,,,,,,,,,silty clay loam,,,,,,,
1,Agricultural Engineering and AgroFALSEmy Research Farm (AEARF),2008-2009,FALSE,,,,,,,,,,,clay loam,,,,,,,
2,Crop Science Research and Education Center (CSREC),2004-2005,FALSE,After or at rye termition,1,1,0-30,,,,,,,silt loam,7,68,25,,,4.2,7.2
3,Crop Science Research and Education Center (CSREC),2007-2008,FALSE,After or at rye termition,2,2,0-30,Fig. 2,,Fig. 2,,,,silty clay loam,17,56,27,,4.8,,6
4,Kelly Experimental Farm,2001-2002,TRUE,Before or at rye planting,4,3,0-120,,,,,13.7,kg/ha,loam,,,,,,,
4,Kelly Experimental Farm,2002-2003,TRUE,Before or at rye planting,4,3,0-120,,,,,26.5,kg/ha,loam,,,,,,,
4,Kelly Experimental Farm,2003-2004,TRUE,Before or at rye planting,4,3,0-120,,,,,44.2,kg/ha,loam,,,,,,,
4,Kelly Experimental Farm,2004-2005,TRUE,Before or at rye planting,4,3,0-120,,,,,70.4,kg/ha,loam,,,,,,,
5,Kelly Experimental Farm,2005-2006,TRUE,Before or at rye planting,4,3,0-120,,,,,82.9,kg/ha,loam,,,,,,,
5,Kelly Experimental Farm,2006-2007,FALSE,,4,,,,,,,,,loam,,,,,,,
5,Kelly Experimental Farm,2007-2008,FALSE,,4,,,,,,,,,loam,,,,,,,
5,Kelly Experimental Farm,2008-2009,FALSE,,4,,,,,,,,,loam,,,,,,,
5,Kelly Experimental Farm,2009-2010,FALSE,,4,,,,,,,,,loam,,,,,,,
6,Kelly Experimental Farm,2010-2011,FALSE,,4,,,,,,,,,loam,,,,,,,
6,Kelly Experimental Farm,2011-2012,FALSE,,4,,,,,,,,,loam,,,,,,,
6,Kelly Experimental Farm,2012-2013,TRUE,After or at rye termition,4,2,0-15,,,,,,,loam,35.8,37.7,26.5,1.31,,,
6,Kelly Experimental Farm,2012-2013,FALSE,,4,,15-30,,,,,,,loam,35.6,36.9,27.5,1.28,,,
6,Kelly Experimental Farm,2013-2014,FALSE,,4,,15-30,,,,,,,loam,,,,,,,
7,Kelly Experimental Farm,2015-2016,FALSE,,4,,,,,,,,,loam,,,,,,,
7,Kelly Experimental Farm,2016-2017,FALSE,,4,,,,,,,,,loam,,,,,,,
8,Beltsville Agricultural Research Center,2009-2010,FALSE,,4,,,,,,,,,loamy sand,,,,,,,
